scenario,total_cost,total_revenue,profit,stockout_rate,service_level,inventory_turnover
43644,449617,292812,-156805,0.722222,0.429402,179.782
43645,445263,310732,-134530,0.7,0.45631,181.973
43646,450858,291218,-159640,0.716667,0.422082,165.372
43647,451868,320088,-131780,0.688889,0.463532,201.445
43648,459958,296547,-163411,0.711111,0.423647,187.265
43649,451906,321800,-130106,0.683333,0.454955,182.65
43650,463405,295092,-168313,0.694444,0.425413,186.355
43651,452151,326700,-125451,0.683333,0.46525,188.189
43652,450080,312900,-137180,0.711111,0.448446,209.204
43653,445907,319853,-126054,0.683333,0.466717,183.388
43654,448958,308000,-140958,0.694444,0.452064,159.669
43655,439531,306800,-132731,0.7,0.456503,183.936
43656,456272,316205,-140067,0.688889,0.450834,188.157
43657,461485,308900,-152585,0.722222,0.430121,204.77
43658,454930,297611,-157319,0.705556,0.437006,182.949
43659,452822,311019,-141803,0.688889,0.44068,186.617
43660,446676,340347,-106329,0.677778,0.488597,224.884
43661,447866,290064,-157802,0.727778,0.416764,194.052
43662,448196,297900,-150296,0.711111,0.434134,172.956
43663,437848,317000,-120848,0.7,0.464218,180.98
43664,432147,311300,-120847,0.666667,0.468551,173.101
43665,452994,290964,-162030,0.727778,0.426013,169.454
43666,451574,316500,-135074,0.722222,0.453224,207.621
43667,467866,330900,-136966,0.716667,0.464977,207.242
43668,434670,317000,-117670,0.7,0.469114,187.617
43669,444691,328787,-115904,0.694444,0.48863,203.361
43670,445316,308300,-137016,0.716667,0.445515,186.943
43671,442817,308699,-134117,0.711111,0.452387,194.749
43672,439902,340500,-99401.5,0.666667,0.493073,214.174
43673,449818,306160,-143658,0.688889,0.447584,182.054
43674,440027,287700,-152327,0.716667,0.43192,175.776
43675,455967,316800,-139167,0.7,0.457677,198.08
43676,455126,295991,-159134,0.705556,0.422499,179.077
43677,459327,321802,-137524,0.7,0.449085,197.944
43678,437401,338424,-98976.8,0.672222,0.498292,176.965
43679,456612,306700,-149912,0.694444,0.446604,169.505
43680,444247,310332,-133916,0.7,0.451055,180.24
43681,445999,343755,-102245,0.666667,0.500183,186.714
43682,460779,305800,-154979,0.733333,0.439953,216.101
43683,446428,306800,-139628,0.7,0.43901,182.557
43684,445084,316500,-128584,0.7,0.458418,182.98
43685,432950,319298,-113651,0.7,0.473418,195.818
43686,441599,330600,-110999,0.666667,0.490259,178.149
43687,448439,317500,-130939,0.683333,0.465353,154.78
43688,443526,329494,-114032,0.683333,0.482936,184.098
43689,460826,320579,-140247,0.7,0.448435,207.586
43690,438496,310251,-128245,0.677778,0.454447,175.933
43691,437133,288500,-148633,0.705556,0.430068,164.362
43692,455943,314662,-141281,0.727778,0.446875,186.289
43693,427669,318525,-109144,0.672222,0.476075,182.718
43694,456229,312500,-143729,0.705556,0.453894,200.284
43695,448610,321459,-127151,0.711111,0.463166,206.76
43696,451979,326700,-125279,0.711111,0.457265,216.079
43697,444868,308300,-136568,0.7,0.447494,178.773
43698,461992,307332,-154660,0.727778,0.437958,207.284
43699,473382,325800,-147582,0.694444,0.458972,213.567
43700,457317,300952,-156365,0.722222,0.434194,214.485
43701,449052,312200,-136852,0.716667,0.443527,218.012
43702,448346,324099,-124248,0.65,0.472778,159.725
43703,454090,306032,-148058,0.694444,0.439997,182.171
43704,449646,315139,-134507,0.711111,0.452575,208.232
